Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
DESKTOP-6KCNB4B,System,Security Group Management,{0CCE9237-69AE-11D9-BED3-505054503030},Success,,1
DESKTOP-6KCNB4B,System,Computer Account Management,{0CCE9236-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-6KCNB4B,System,User Account Management,{0CCE9235-69AE-11D9-BED3-505054503030},Success,,1
DESKTOP-6KCNB4B,System,Directory Service Replication,{0CCE923D-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-6KCNB4B,System,Directory Service Access,{0CCE923B-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-6KCNB4B,System,Detailed Directory Service Replication,{0CCE923E-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-6KCNB4B,System,Directory Service Changes,{0CCE923C-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-6KCNB4B,System,Other Account Logon Events,{0CCE9241-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-6KCNB4B,System,Kerberos Service Ticket Operations,{0CCE9240-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-6KCNB4B,System,Credential Validation,{0CCE923F-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-6KCNB4B,System,Kerberos Authentication Service,{0CCE9242-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-6KCNB4B,,Option:CrashOnAuditFail,,Disabled,,0
DESKTOP-6KCNB4B,,Option:FullPrivilegeAuditing,,Disabled,,0
DESKTOP-6KCNB4B,,Option:AuditBaseObjects,,Disabled,,0
DESKTOP-6KCNB4B,,Option:AuditBaseDirectories,,Disabled,,0
DESKTOP-6KCNB4B,,FileGlobalSacl,,,,
DESKTOP-6KCNB4B,,RegistryGlobalSacl,,,,
